id,area,perimeter,x,y,w,h,h1,h2,h3,h4,h5,h6,h7,nearby_contours,min_distance,label
0,0.0,0.0,377,709,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.323807579381203,0
1,1.0,8.828427076339722,301,705,5,2,0.24999999997089617,0.03472222221090407,1.6896767815341657e-15,6.37646423868861e-15,1.879412537823304e-29,1.5178828631208484e-16,-9.211447178777823e-30,1,6.324555320336759,0
2,20.5,99.35533845424652,306,704,34,6,1.391483647135518,1.8413617718225639,8.856144969502324,8.743704557987208,76.94237163181806,11.845465752616706,-0.007438180978919462,0,13.038404810405298,0
3,0.0,8.0,295,704,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.324555320336759,0
4,13.0,13.656854152679443,328,694,5,5,0.16790573003690845,0.0017612765864847915,0.00026852381481598216,4.787627975409048e-06,8.260754122490954e-11,3.4669764989334757e-08,1.5047771236146253e-10,0,13.038404810405298,0
5,0.0,2.0,250,693,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.198039027185569,0
6,0.0,0.0,389,689,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.1622776601683795,0
7,0.0,2.0,484,687,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.0,0
8,0.0,2.8284270763397217,391,687,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.1622776601683795,0
9,0.0,6.0,375,685,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5.385164807134504,0
10,1.0,13.656854152679443,281,685,4,6,5.5,29.44444444458673,1.9984014443252818e-15,2.220446049250313e-16,-1.4791141972893971e-31,-8.881784197001252e-16,0.0,2,2.8284271247461903,0
11,0.0,0.0,382,683,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.0,0
12,0.0,0.0,497,682,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.083045973594572,0
13,0.5,32.38477599620819,350,682,6,6,0.2222222222480923,0.01234567901522013,0.00548694207526965,0.00021947709065225847,-2.4085129159086235e-07,-2.438634340706679e-05,4.257649095122126e-12,0,17.029386365926403,0
14,0.0,2.0,285,682,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.0,0
15,1.0,22.485281229019165,278,682,6,9,3.5833333333284827,12.368055555755241,8.921297489897277e-15,1.299650561273352e-15,-3.2732959143234575e-32,-5.411254499103805e-16,4.425292976893993e-30,2,2.8284271247461903,0
16,0.0,2.0,217,681,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.123105625617661,0
17,24.5,46.870057225227356,382,680,13,9,0.1799458086766808,0.0025495706469500067,0.00024197186523745984,8.783999869420844e-05,1.2532250218758467e-08,3.685733963080207e-06,2.6347569108990326e-09,5,5.0,0
18,0.0,0.0,388,679,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5.0,0
19,0.5,5.414213538169861,213,679,3,2,0.2222222223499557,0.012345679041090202,0.0054869282305251305,0.00021947801365263938,-2.408525070032625e-07,-2.4386445984738018e-05,6.8547270944660706e-12,1,4.123105625617661,0
20,74.5,259.5807341337204,217,678,88,26,7.476152410116829,55.61866294747908,43.78868428773559,42.87057283777284,1857.4603886759783,318.0025508777259,-2.2443842802033487,0,10.198039027185569,0
21,0.0,0.0,508,677,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.708203932499369,0
22,9.5,54.870057225227356,372,677,21,7,0.37844842947101076,0.09310801838815623,0.04707808834837655,0.03499059777073161,0.0014178473547574325,0.010557969230384531,-8.096700093883022e-05,5,3.0,0
23,0.5,36.72792184352875,375,675,9,5,0.22222222236450762,0.012345678989350059,0.0054869893312524,0.00021947923843385352,-2.4085586422766465e-07,-2.4386582025405695e-05,1.1658733408550192e-12,4,4.242640687119285,0
24,0.0,0.0,514,674,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.708203932499369,0
25,0.0,0.0,202,674,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.23606797749979,0
26,0.0,0.0,200,673,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.23606797749979,0
27,0.0,0.0,198,672,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.23606797749979,0
28,0.0,0.0,520,671,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.23606797749979,0
29,0.0,0.0,367,671,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1622776601683795,0
30,0.0,0.0,196,671,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.23606797749979,0
31,0.0,0.0,522,670,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.23606797749979,0
32,2.0,11.313708305358887,363,670,3,4,0.16666666664241347,2.117582368135751e-22,3.810903932441952e-16,4.84312369295446e-16,1.8536408488356791e-31,-6.554634476273699e-27,9.450852026213315e-32,2,2.0,0
33,0.0,4.828427076339722,288,670,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.1622776601683795,0
34,0.0,0.0,194,670,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.23606797749979,0
